mean,std,rms,median,p2p,zcr,skew,kurtosis,iqr,spec_centroid,spec_peak_freq,band_power_low,band_power_mid,band_power_high,subject_id,activity,height_cm,weight_kg
0.0,0.9966913096460944,0.9966455636307108,-0.010123887623865246,7.747444340062776,0.2177545212521803,-0.03755287737298833,0.3384726407033569,1.2664089802654777,793.9602405155268,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
9.132101625485544e-18,0.9987559300460435,0.9987100850605911,0.024212683185171814,9.945037201750234,0.22034520749173706,-0.0025818012929862038,0.5034715496990847,1.2664089802654777,772.0097072006141,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
3.00054767694525e-17,0.9986344384446536,0.9985885990359198,0.01838944903591665,9.684303518015248,0.2130003672420125,0.023582534151909505,0.5527026054732169,1.2291617470606448,776.9098335903203,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
1.8916496224220053e-17,0.9991565454811697,0.9991106821066312,-0.00844591444031946,9.162843778798162,0.22879177377892032,-0.08093994533437453,0.4675215048190995,1.2291617470606448,795.2073544683262,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
1.56535943255392e-17,1.0039048943556967,1.0038588172520875,-0.008739170075588094,8.492396632412325,0.20765629303222252,-0.00013854227770672306,0.40788143007528044,1.2664089802654777,760.8214612734284,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
1.4350445411477282e-17,0.9901292865720415,0.9900838375675617,-0.005139363448682521,8.23166294867734,0.21502019831068675,-0.05662341581001732,0.3942733770924849,1.2291617470606448,794.8459675984082,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
3.718069947519114e-17,0.9946150387946192,0.9945693838847334,0.014368260022041595,8.604135280725668,0.2131839882482556,0.0043672343588989845,0.4906012704950191,1.2291617470606448,781.4968999138753,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
9.784394598734511e-18,0.9976818537606215,0.9976360580775163,-0.004226405130240514,8.008170395544873,0.210613294160852,-0.02216395175661194,0.3490473767541675,1.2291617470606448,760.6934921504746,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
3.4568354135565734e-17,1.0081469175715287,1.0081006457680586,-0.0075288503044639915,8.678632798436489,0.2111447718718443,0.006843284059334264,0.6559194114161486,1.2291617470606448,788.8010293300329,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
2.0873375143966958e-17,1.0110908599706796,1.011044448786153,0.0014566066957064534,10.094032237171877,0.21804994491369814,0.03685918750179277,0.5825411757955221,1.2664089802654777,828.5225860390585,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
1.6959617304473152e-17,1.0004864107617724,1.000440486343637,0.00828176093684117,9.42357746253315,0.2127249357326478,0.03880225394861137,0.5322316145607564,1.2291617470606448,816.4367236313641,53.18967864931615,0.0,0.0,0.0,S01,stand,165,60
-4.5656316782822666e-17,0.9993487877296575,0.999302919741671,0.0037863302872849177,7.9266611857870455,0.20269898099697053,-0.005415880104759347,0.37002871715293617,1.239714009590834,686.9377154543814,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
4.566050812742772e-18,0.9966497085371808,0.9966039602316996,0.006473244689976754,9.542046713548626,0.19316929856775616,-0.01573168798484402,0.45266631066221397,1.2021470116485768,670.2800961444364,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
-2.3482547036962825e-17,1.0043480851374582,1.0043019834603948,-0.032221406036394645,8.114496175498331,0.19794344473007713,-0.020009020869058248,0.4213274242256686,1.239714009590834,683.0342205561211,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
-2.1525668117215923e-17,0.9934173853010494,0.993371785365963,-0.00032078708960824563,7.325587679962757,0.19739258171134777,-0.045266404971018616,0.2842851049799511,1.2021470116485768,659.7022590511908,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
-1.3044661937949333e-17,1.000108800438454,1.0000628975674974,0.004793284352748356,8.114488481757457,0.21004314697512164,-0.01281451880306424,0.4236595230962381,1.239714009590834,694.8539978148563,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
3.261464866244837e-18,0.9916167321543014,0.9915712148729593,0.004959252823219498,8.79069906096261,0.2052882849798017,0.026641816645881576,0.46667044743555675,1.239714009590834,670.4236194832466,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
-5.870636759240706e-18,0.9963322915799129,0.9962865578445337,0.007632011843651847,8.377460544849605,0.20051413881748073,0.005569567714301162,0.50367069028934,1.2021470116485768,677.8759027275311,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
-1.9568789197469023e-18,0.9954770979657243,0.99543140348552,0.003914273483763917,8.302331165209617,0.2067572530297466,-0.027168402245477945,0.4024655279227414,1.2021470116485768,700.7038385081155,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
-3.71772865231556e-17,1.0058921046367175,1.0058459363243748,0.0072519729686565445,8.753130524272176,0.1988432938584412,-0.030052965148524208,0.42130546876917974,1.239714009590834,699.1547110318897,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
-9.784394598734511e-18,1.0130559342266372,1.0130094328410935,0.00879422430011765,9.016102587364326,0.21024605214836578,-0.028163880185286233,0.4345118886937991,1.277281007533091,705.6754204149636,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
3.913757839493805e-18,1.0034652825585724,1.0034192214039932,-0.02442727957159535,8.865828440602598,0.21244950422328315,-0.02324950481321025,0.35301092370575216,1.239714009590834,732.6231501666451,53.18967864931615,0.0,0.0,0.0,S01,walk,175,70
