mean,std,var,min,max,rms,zero_cross_rate,spectral_entropy,dominant_freq,energy,iqr,skew,kurtosis,subject_id,activity,qom_category,source_file
-0.0007512498886988817,0.0012731841380569009,1.6209978493996936e-06,-0.004285385423499513,0.01769241409341125,0.0014783011346372482,0.00013770311209033325,3.441249162916194,7.500169503830788,0.047610563294375734,0.0005472585347290908,8.442376493870377,97.1927949187095,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0008161446219798691,0.00033656863589312427,1.1327844666695845e-07,-0.001703306159562479,-2.1902447290016127e-05,0.0008828196252086958,0.0,0.4798368394382571,0.5000113002553859,0.01697936550937981,0.00041317456923698674,-0.04104903619310435,-0.0061604729857922536,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0009883780071508147,0.00035247213084879577,1.242366030250906e-07,-0.0017728074232456537,-6.0355789180652584e-05,0.0010493463146380735,0.0,0.3972685728556137,7.500169503830788,0.023989167811737624,0.000489296853505,0.11296586886640968,-0.42973354064582026,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0009786008022150893,0.0003809643568384405,1.4513384118132663e-07,-0.0017728074232456537,-6.0355789180652584e-05,0.0010501396913160377,0.0,0.4450199516685187,3.0000678015323152,0.024025456386648193,0.0005226620150175515,0.3756594538358207,-0.4430297030444881,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0009776086851087723,0.00037256987429467296,1.3880831123194843e-07,-0.0016547238759572619,-7.857760700680517e-05,0.0010461964693268904,0.0,0.4361069740982091,1.0000226005107717,0.023845366364284668,0.0005315878266674528,0.33211073138478053,-0.5648051191204715,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0008652328480386822,0.00039699388033961967,1.5760414102710828e-07,-0.001667974426669421,3.997498179512555e-05,0.0009519621958629648,9.180207472688883e-05,0.5632774597346282,1.5000339007661576,0.019743170838965856,0.0006242128529731089,-0.14305256335950195,-0.9104256765925798,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0008759110630018619,0.00038576050042537217,1.4881116368843355e-07,-0.001886806912780864,3.997498179512555e-05,0.0009570952690184429,9.180207472688883e-05,0.5332974402563071,0.5000113002553859,0.0199566590777535,0.0005430332032092671,-0.4057080822193843,-0.15918423437483842,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0009648557151016493,0.00037254628690316515,1.3879073588533544e-07,-0.001886806912780864,5.8550506898013134e-05,0.001034281048288931,9.180207472688883e-05,0.4337067459879195,7.500169503830788,0.023305296531306478,0.0005034673260157403,0.22903073645740404,0.22011425271922658,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0009475073600748604,0.0003881997382281156,1.5069903676037747e-07,-0.001796020554540679,5.8550506898013134e-05,0.0010239478669133543,9.180207472688883e-05,0.48293012505932487,1.5000339007661576,0.022841950735331518,0.000526955383245688,0.43762713255727403,-0.22480002837066548,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0010187220592273545,0.00034037573842449627,1.1585564330802109e-07,-0.001796020554540679,-0.0001078624130716494,0.00107408113160247,0.0,0.3334167822816987,4.500101702298473,0.025133424940483144,0.0003918708646548643,0.26341766976187964,0.26107386755923034,S01,jump,Healthy Baseline,S01JUMP.CSV
-0.0002868483344078206,0.003982582868964911,1.5860966308172775e-05,-0.007499434483539372,0.04832413288785322,0.003992899732666138,0.0011475259340861103,4.489547163501732,5.500124302809245,0.3473396069218801,0.0029144186264532202,5.782890640352817,55.30244442842103,S01,jump,Healthy Baseline,S01JUMP01.CSV
-0.0005212904621462262,0.002897160708352012,8.393540170018733e-06,-0.007153097722857797,0.007863770275501893,0.0029436854308745966,0.001009822821995777,2.5903137583294824,4.000090402043087,0.18878187539274205,0.003579824810779804,0.07067268375210041,0.17137011584722783,S01,jump,Healthy Baseline,S01JUMP01.CSV
-0.0007782508215615027,0.003562483814071273,1.2691290925519805e-05,-0.008067264377495761,0.007863770275501893,0.003646500413654297,0.0008262186725419994,2.4698016833473013,2.0000452010215435,0.28968768530209,0.005140187334216586,0.08483160030177256,-0.599779923909892,S01,jump,Healthy Baseline,S01JUMP01.CSV
-0.0006718734908116436,0.0038976769648314744,1.5191885722177894e-05,-0.009646363557501121,0.011113576783595132,0.003955161148402593,0.001009822821995777,2.7171745938900775,4.000090402043087,0.34080492747842867,0.005315727267050446,0.13941772659293808,-0.05021014615538588,S01,jump,Healthy Baseline,S01JUMP01.CSV
-0.0005824326337698655,0.0043731878755253,1.912477219464149e-05,-0.009646363557501121,0.011113576783595132,0.004411802349099696,0.0010557238593592215,2.367439760114963,4.000090402043087,0.4240427032924254,0.005660910637393811,0.20321731747488345,-0.29252975781794976,S01,jump,Healthy Baseline,S01JUMP01.CSV
-0.0009784644739552742,0.003875076683301539,1.5016219301467255e-05,-0.008874192567960912,0.009890820464944801,0.003996700142399956,0.0008721197099054439,2.5035312770315166,4.000090402043087,0.34800111164766867,0.004235808520827804,0.5015291346574317,0.2963830216106089,S01,jump,Healthy Baseline,S01JUMP01.CSV
-0.0006130455614769712,0.0030082756378140897,9.049722313065769e-06,-0.007467509833582314,0.009074005613293244,0.0030701054010428344,0.0009639217846323327,2.709977333398277,2.0000452010215435,0.20534497072214078,0.0031805643192276203,0.29600659216500963,0.8553750934342026,S01,jump,Healthy Baseline,S01JUMP01.CSV
