Time(s),Voltage(V)
-5.9777406,-0.00398633
-5.9776488,0.0214043
-5.977557,-0.0161934
-5.9774652,-0.025959
-5.9773734,-0.0244941
-5.9772816,-0.0298652
-5.9771898,-0.041584
-5.977098,-0.0269355
-5.9770062,-0.0142402
-5.9769144,-0.0176582
-5.9768226,-0.0244941
-5.9767308,-0.0313301
-5.976639,-0.0117988
-5.9765472,-0.0098457
-5.9764554,-0.0098457
-5.9763636,-0.00593945
-5.9762718,-0.00691602
-5.97618,-0.00545117
-5.9760882,-0.00886914
-5.9759964,-0.00593945
-5.9759046,-0.0108223
-5.9758128,-0.0127754
-5.975721,-0.00642773
-5.9756292,-0.00886914
-5.9755374,-0.0074043
-5.9754456,-0.00838086
-5.9753538,-0.0074043
-5.975262,-0.00496289
-5.9751702,-0.0171699
-5.9750784,-0.00447461
-5.9749866,0.0131035
-5.9748948,-0.00252148
-5.974803,-0.00105664
-5.9747112,-0.0279121
-5.9746194,-0.00789258
-5.9745276,-0.00447461
-5.9744358,-0.000568359
-5.974344,0.00284961
-5.9742522,-0.0074043
-5.9741604,0.00187305
-5.9740686,-0.00691602
-5.9739768,-0.00691602
-5.973885,-0.00593945
-5.9737932,-0.0357246
-5.9737014,0.00626758
-5.9736096,-0.0215645
-5.9735178,-0.00349805
-5.973426,-0.0127754
-5.9733342,-0.00154492
-5.9732424,-0.0113105
-5.9731506,0.0057793
-5.9730588,-0.0127754
-5.972967,-0.0376777
-5.9728752,-0.0020332
-5.9727834,-0.0166816
-5.9726916,0.0194512
-5.9725998,-0.00154492
-5.972508,0.00529102
-5.9724162,0.000896484
-5.9723244,-0.0108223
-5.9722326,-0.0113105
-5.9721408,-0.00886914
-5.972049,-0.00252148
-5.9719572,-0.0108223
-5.9718654,-8.00781e-05
-5.9717736,-0.00398633
-5.9716818,-0.010334
-5.97159,-0.00154492
-5.9714982,-0.00545117
-5.9714064,-0.00349805
-5.9713146,-0.00252148
-5.9712228,-0.00252148
-5.971131,-0.0074043
-5.9710392,-0.00252148
-5.9709474,0.012127
-5.9708556,0.00333789
-5.9707638,0.00870898
-5.970672,0.0336113
-5.9705802,0.00382617
-5.9704884,-0.00349805
-5.9703966,0.00333789
-5.9703048,0.0106621
-5.970213,0.00187305
-5.9701212,0.00187305
-5.9700294,0.017498
-5.9699376,0.0326348
-5.9698458,0.00870898
-5.969754,-0.00105664
-5.9696622,0.0150566
-5.9695704,0.00626758
-5.9694786,0.00626758
-5.9693868,0.00773242
-5.969295,0.0140801
-5.9692032,0.0101738
-5.9691114,0.0106621
-5.9690196,0.00187305
-5.9689278,0.00333789
-5.968836,0.00529102
-5.9687442,0.0189629
-5.9686524,0.00333789
-5.9685606,-0.0117988
-5.9684688,0.00675586
-5.968377,0.00724414
-5.9682852,0.00968555
-5.9681934,0.0184746
-5.9681016,0.027752
-5.9680098,0.012127
-5.967918,0.0170098
-5.9678262,0.00529102
-5.9677344,-0.00886914
-5.9676426,0.0126152
-5.9675508,0.0160332
-5.967459,0.00870898
-5.9673672,0.033123
-5.9672754,0.0257988
-5.9671836,0.0194512
-5.9670918,0.0145684
-5.967,0.017498
-5.9669082,0.0160332
-5.9668164,0.0233574
-5.9667246,0.0135918
-5.9666328,0.0502129
-5.966541,0.0199395
-5.9664492,-0.00642773
-5.9663574,-0.0074043
-5.9662656,-0.0020332
-5.9661738,0.00870898
-5.966082,0.00480273
-5.9659902,0.00626758
-5.9658984,-0.0284004
-5.9658066,0.0340996
-5.9657148,0.00138477
-5.965623,-0.00398633
-5.9655312,-0.00545117
-5.9654394,-0.0196113
-5.9653476,0.00675586
-5.9652558,-0.0020332
-5.965164,-8.00781e-05
-5.9650722,0.00626758
-5.9649804,0.012127
-5.9648886,-0.0127754
-5.9647968,0.0160332
-5.964705,-0.0371895
-5.9646132,0.00382617
-5.9645214,0.0101738
-5.9644296,0.00382617
-5.9643378,0.00138477
-5.964246,0.00773242
-5.9641542,-0.00496289
-5.9640624,0.00773242
-5.9639706,0.00284961
-5.9638788,0.00773242
-5.963787,0.00480273
-5.9636952,0.00382617
-5.9636034,0.00236133
-5.9635116,0.00382617
-5.9634198,-0.00447461
